,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
77,d6f78add-5ba5-4a09-9207-f7ec95db5e61,76,Kuwait,Asia,14.34,0.41,177.26,99.24,628130,0,2553,0,623331,0,2246,7763313,4379554,7,1715,1,583.0,10,1772626,143423.0
78,656a97f0-ebc6-49bd-8aca-ba2b36ef2e5f,77,Myanmar,Asia,1.11,3.18,13.79,92.99,610728,235,19429,1,567945,623,23354,7588224,55039385,90,2833,7,353.0,0,137869,11096.0
79,ff0aaa9f-fc0e-4469-a70f-cece3c15fbb2,78,New Zealand,Australia/Oceania,11.74,0.04,138.06,79.73,587467,14223,217,16,468413,15995,118837,6906054,5002100,9,23051,1,43.0,0,1380631,117444.0
80,d4008e11-6975-4ea6-a9d0-aa571c2604aa,79,Palestine,Asia,10.95,0.92,58.02,98.84,580873,0,5345,0,574144,0,1384,3078533,5305959,9,993,2,1007.0,17,580203,109476.0
81,4b172cda-eece-4d9d-959d-5d9bd0152a7a,80,Dominican Republic,North America,5.24,0.76,29.12,99.2,577841,100,4375,0,573202,349,264,3214009,11035660,19,2522,3,396.0,26,291238,52361.0
82,8ffed1e8-55da-40c5-ba55-c8217745b6d4,81,Estonia,Europe,41.49,0.44,242.96,85.09,551067,1274,2436,7,468891,2279,79740,3226665,1328075,2,545,0,1834.0,17,2429580,414937.0
83,0d159598-c97e-485c-a17b-a34a82ae29bd,82,Bahrain,Asia,30.52,0.27,531.15,98.31,550362,644,1468,0,541056,855,7838,9579472,1803533,3,1229,0,814.0,7,5311504,305158.0
84,a4bf948e-feab-40c2-a4f3-8f1845227cb0,83,Venezuela,South America,1.84,1.09,11.87,98.53,520038,0,5676,0,512372,0,1990,3359014,28296868,54,4985,8,201.0,230,118706,18378.0
85,40ec322d-781b-4601-a88e-ea02e883d286,84,Moldova,Europe,12.75,2.23,78.12,97.09,512386,339,11415,6,497498,371,3473,3138622,4017780,8,352,1,2841.0,61,781183,127530.0
86,7fbd3cf9-04e1-4ecf-8187-7c1a53fcdd39,85,Libya,Africa,7.13,1.28,35.11,97.53,501420,0,6397,0,489010,0,6013,2468985,7032534,14,1099,3,910.0,111,351080,71300.0
