,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
59,eea4bad6-f826-4771-b1e4-d43b3124a0de,58,Tunisia,Africa,8.59,2.72,37.41,0.0,1033731,0,28165,0,1005566,0,0,4500701,12031715,12,427,3,2341.0,63,374070,85917.0
60,1fe0506d-1912-462f-880b-04c8ebeae16c,59,Lithuania,Europe,38.01,0.87,301.75,92.33,1009756,3314,8804,13,932357,4408,68595,8016908,2656841,3,302,0,3314.0,66,3017459,380059.0
61,6743d550-56b6-4a61-9ef4-67cd895e11ef,60,Nepal,Asia,3.26,1.22,18.39,98.58,978309,12,11951,0,964398,271,1960,5523877,30039531,31,2514,5,398.0,100,183887,32567.0
62,885c537d-9654-4502-8a5d-81bd424a659c,61,Belarus,Europe,10.13,0.71,135.43,97.02,957088,1488,6767,8,928536,0,21785,12790271,9443966,10,1396,1,717.0,0,1354333,101344.0
63,b9e72506-ad28-4266-8ab3-57bbb16ae65d,62,Slovenia,Europe,45.8,0.68,125.35,95.35,952479,2802,6469,8,908172,2246,37838,2606633,2079430,2,321,1,3111.0,49,1253532,458048.0
64,5b87d5fe-3ba9-42e8-bb88-09ae079e1fcb,63,Bolivia,South America,7.54,2.39,22.45,91.67,900845,288,21487,3,825786,1866,53572,2682016,11947363,13,556,4,1798.0,220,224486,75401.0
65,5d7de038-91f5-4150-b3f0-ecb490d78997,64,UAE,Asia,8.81,0.26,1449.36,96.85,889456,348,2302,0,861395,882,25759,146331326,10096302,11,4386,0,228.0,0,14493557,88097.0
66,6a4f1e2a-ae9b-4d53-8966-3364c7e486ec,65,Uruguay,South America,25.22,0.81,169.93,98.12,881152,0,7147,0,864614,0,9391,5938278,3494477,4,489,1,2045.0,40,1699332,252156.0
67,f86d0349-d502-4895-bf64-3364728f10c0,66,Ecuador,South America,4.72,4.14,13.64,0.0,855314,0,35413,0,819901,0,0,2470170,18104609,21,511,7,1956.0,759,136439,47243.0
68,dc7c0e8c-ad34-446d-a695-59fe62ef8c2d,67,Finland,Europe,15.2,0.35,185.96,5.45,844713,10675,2985,34,46000,0,795728,10331340,5555554,7,1861,1,537.0,32,1859642,152048.0
69,bb6306c0-534b-4377-9027-c92d4338c384,68,Costa Rica,North America,16.12,0.99,75.64,94.31,833909,0,8263,0,786453,0,39193,3913872,5174277,6,626,1,1597.0,72,756409,161164.0
70,c2273b77-1484-454b-a2a4-42478d4847df,69,Guatemala,North America,4.45,2.1,22.67,96.26,823145,1311,17274,7,792328,2248,13543,4191788,18486425,22,1070,4,934.0,5,226750,44527.0
71,0945c7b4-d129-4deb-9c5e-803aa859e387,70,Azerbaijan,Asia,7.69,1.22,64.87,98.72,791654,50,9675,3,781528,134,451,6679287,10296661,13,1064,2,940.0,0,648685,76885.0
72,681d9074-d938-4db5-935b-c3468192b7a5,71,Latvia,Europe,42.53,0.71,379.24,91.68,786974,2819,5569,10,721486,0,59919,7016881,1850264,2,332,0,3010.0,32,3792367,425331.0
73,21d1365d-9bc7-4624-a17d-c30d5b86a35f,72,Panama,North America,17.21,1.07,127.71,98.57,762735,0,8160,0,751821,0,2754,5659857,4431782,6,543,1,1841.0,10,1277106,172106.0
74,8322c6dd-f9f8-4061-bf31-a64e1ba32344,73,Saudi Arabia,Asia,2.1,1.2,115.95,97.7,750179,99,9036,2,732939,198,8204,41451248,35747922,48,3956,1,253.0,142,1159543,20985.0
75,79b25104-b717-4a88-a9f8-deb868ddf519,74,Sri Lanka,Asia,3.06,2.49,29.53,96.43,660633,234,16452,2,637056,45,7125,6368159,21567981,33,1311,3,763.0,0,295260,30630.0
76,3a31a649-913a-4832-a625-b9ea1fc659c6,75,Paraguay,South America,8.89,2.87,35.41,96.34,647672,0,18608,0,623980,0,5084,2579054,7283499,11,391,3,2555.0,45,354095,88923.0
77,d6f78add-5ba5-4a09-9207-f7ec95db5e61,76,Kuwait,Asia,14.34,0.41,177.27,99.24,628130,0,2553,0,623331,0,2246,7763313,4379382,7,1715,1,583.0,10,1772696,143429.0
78,656a97f0-ebc6-49bd-8aca-ba2b36ef2e5f,77,Myanmar,Asia,1.11,3.18,13.77,92.93,610493,317,19428,0,567322,484,23743,7576924,55038390,90,2833,7,353.0,0,137666,11092.0
79,d4008e11-6975-4ea6-a9d0-aa571c2604aa,78,Palestine,Asia,10.95,0.92,58.02,98.84,580873,0,5345,0,574144,0,1384,3078533,5305634,9,993,2,1007.0,17,580238,109482.0
80,4b172cda-eece-4d9d-959d-5d9bd0152a7a,79,Dominican Republic,North America,5.23,0.76,29.08,99.17,577673,0,4375,0,572853,0,445,3208952,11035363,19,2522,3,396.0,24,290788,52347.0
81,ff0aaa9f-fc0e-4469-a70f-cece3c15fbb2,80,New Zealand,Australia/Oceania,11.46,0.04,138.0,78.92,573244,15914,201,9,452418,14149,120625,6902982,5002100,9,24886,1,40.0,0,1380017,114601.0
82,8ffed1e8-55da-40c5-ba55-c8217745b6d4,81,Estonia,Europe,41.4,0.44,242.7,84.87,549793,1462,2429,6,466612,2875,80752,3223248,1328072,2,547,0,1829.0,14,2427013,413978.0
83,0d159598-c97e-485c-a17b-a34a82ae29bd,82,Bahrain,Asia,30.48,0.27,530.92,98.27,549718,852,1468,2,540201,988,8049,9574487,1803370,3,1228,0,814.0,6,5309219,304828.0
84,a4bf948e-feab-40c2-a4f3-8f1845227cb0,83,Venezuela,South America,1.84,1.09,11.87,98.49,519943,0,5674,0,512090,0,2179,3359014,28297087,54,4987,8,201.0,230,118705,18374.0
85,40ec322d-781b-4601-a88e-ea02e883d286,84,Moldova,Europe,12.74,2.23,78.02,97.09,512047,385,11409,1,497127,346,3511,3134692,4017805,8,352,1,2840.0,43,780200,127444.0
86,7fbd3cf9-04e1-4ecf-8187-7c1a53fcdd39,85,Libya,Africa,7.13,1.28,35.11,97.53,501420,41,6397,5,489010,287,6013,2468985,7032278,14,1099,3,910.0,111,351093,71303.0
87,7844e28f-fac5-4139-9e38-10524822bcc6,86,Egypt,Africa,0.47,4.86,3.5,85.89,500889,0,24361,0,430198,0,46330,3693367,105659029,211,4337,29,231.0,122,34956,4741.0
88,8b530d04-0043-48cc-938c-71395833398f,87,Ethiopia,Africa,0.39,1.6,3.86,91.83,469604,60,7491,0,431244,1975,30869,4628640,119867108,255,16001,26,62.0,14,38615,3918.0
89,75989859-6f57-4c6a-82de-9134e3698840,88,Mongolia,Asia,13.89,0.47,119.61,66.95,467884,103,2177,0,313256,0,152451,4030048,3369238,7,1548,1,646.0,192,1196130,138869.0
90,f281c4d9-4a39-44d4-baa9-8deb858d73cb,89,Armenia,Asia,14.21,2.04,99.64,96.99,422423,22,8607,3,409693,58,4123,2961990,2972788,7,345,1,2895.0,0,996368,142097.0
91,06e13c04-2cd2-4b58-89c9-bf5e9673e7de,90,Honduras,North America,4.11,2.6,12.41,31.33,418492,0,10869,0,131100,0,276523,1263329,10175991,24,936,8,1068.0,105,124148,41125.0
92,f2bd16b1-2a21-42c3-ba7a-62e372619ba6,91,Cyprus,Asia,32.76,0.23,775.22,31.05,400534,3329,930,3,124370,0,275234,9477138,1222505,3,1315,0,761.0,60,7752228,327634.0
93,0c7482a0-3655-48e5-a002-ea7e84e9a5e0,92,Oman,Asia,7.28,1.1,469.02,98.46,387922,0,4250,0,381949,0,1723,25000000,5330255,14,1254,0,797.0,15,4690207,72777.0
94,6f12c131-ea0a-4953-9249-e3a16555b940,93,Bosnia and Herzegovina,Europe,11.55,4.19,53.33,51.28,374810,114,15702,7,192218,0,166890,1730820,3245651,9,207,2,4838.0,0,533274,115481.0
95,d7b5b1f3-7613-497f-ad47-659c3e7b274f,94,Qatar,Asia,12.84,0.19,121.23,99.49,360619,122,677,0,358789,103,1153,3404009,2807805,8,4147,1,241.0,1,1212338,128434.0
96,07e7a02c-dadf-46fd-b333-03cf9576b9e3,95,Réunion,Africa,36.1,0.21,173.16,96.07,327189,0,702,0,314338,0,12149,1569429,906323,3,1291,1,775.0,41,1731644,361007.0
97,4d0b4ae2-5c78-4099-83c1-106807cc3ca4,96,Kenya,Africa,0.58,1.75,6.26,98.22,323350,17,5647,0,317581,0,122,3491411,55811127,173,9883,16,101.0,1,62558,5794.0
